,index_x,page,country,rev_id,article_quality_estimate,index_y,FIPS,Name,Type,TimeFrame,Data (M),Population
9421,19181.0,José Arturo Vásquez Machado,Salvadoran,779894617,Stub,,,,,,,
9422,19193.0,Andrés del Valle,Salvadoran,779931580,Start,,,,,,,
9423,19385.0,Lilian Mercedes Letona,Salvadoran,780552804,Start,,,,,,,
9424,19434.0,Carlos Quintanilla Schmidt,Salvadoran,780701356,Stub,,,,,,,
9425,19536.0,Enrique Álvarez Córdova,Salvadoran,781102914,Stub,,,,,,,
9426,20012.0,Arturo Araujo,Salvadoran,782520448,Stub,,,,,,,
9427,20088.0,Rubén Alonso Rosales,Salvadoran,782652818,Start,,,,,,,
9428,20492.0,Mariano Prado,Salvadoran,783472679,Start,,,,,,,
9429,20960.0,Pío Romero Bosque,Salvadoran,784506431,Stub,,,,,,,
9430,21324.0,Alfonso Quiñónez Molina,Salvadoran,785229840,Stub,,,,,,,
9431,21677.0,Jorge Meléndez,Salvadoran,786063735,Stub,,,,,,,
9432,21689.0,Carmen Elena Figueroa,Salvadoran,786068145,Stub,,,,,,,
9433,21881.0,Felipe Codallos,Salvadoran,786492357,Stub,,,,,,,
9434,21882.0,Tomás Regalado (Salvadoran politician),Salvadoran,786492366,Stub,,,,,,,
9435,23397.0,Doroteo Vasconcelos,Salvadoran,788264133,GA,,,,,,,
9436,23586.0,Alfredo Cristiani,Salvadoran,788447923,C,,,,,,,
9437,30028.0,Óscar Osorio,Salvadoran,791821555,Start,,,,,,,
9438,30135.0,Lourdes Rodríguez de Flores,Salvadoran,791907279,Stub,,,,,,,
9439,30136.0,Álvaro Magaña,Salvadoran,791907345,Stub,,,,,,,
9440,30140.0,Salvador Castaneda Castro,Salvadoran,791911972,B,,,,,,,
9441,30411.0,Julio Adalberto Rivera Carballo,Salvadoran,792385744,Start,,,,,,,
9442,30879.0,Carlos Salazar Castro,Salvadoran,793184472,Start,,,,,,,
9443,31246.0,Maximiliano Hernández Martínez,Salvadoran,793642670,C,,,,,,,
9444,31500.0,Reynaldo Galindo Pohl,Salvadoran,794052085,Stub,,,,,,,
9445,31765.0,Ciro Cruz Zepeda,Salvadoran,794459622,Start,,,,,,,
9446,31842.0,Ana Ligia Mixco Sol de Saca,Salvadoran,794561394,Start,,,,,,,
9447,32229.0,Carlos Humberto Romero,Salvadoran,794988963,Start,,,,,,,
9448,32679.0,Ana María,Salvadoran,795573859,Start,,,,,,,
9449,33103.0,Arturo Armando Molina,Salvadoran,796131598,Stub,,,,,,,
9450,33995.0,Carlos Eugenio Vides Casanova,Salvadoran,797151261,C,,,,,,,
